codigo item;descricao item
16000132;C-1220X LQ BAR 25.00 KG
16000133;C-1221 LQ BAR 10.00 KG
16000137;C-142 LQ BAR 50.00 KG
16000139;C-159 LQ BAR 10.00 KG
16000140;C-159 LQ BAR 50.00 KG
16000146;C-182/4 LQ BAR 10.00 KG
16000147;C-182/4 LQ BAR 50.00 KG
16000150;C-186 LQ BAR 10.00 KG
16000152;C-186 LQ BAR 50.00 KG
16000155;C-19AMT LQ CPL 1000.00 KG
16000158;C-19A LQ BAR 10.00 KG
16000159;C-19A LQ BAR 50.00 KG
16000161;C-19MT LQ BAR 10.00 KG
16000163;C-19 LQ BAR 10.00 KG
16000164;C-19 LQ BAR 50.00 KG
16000168;C-2000 LQ CPP 1000.00 KG
16000171;C-2008 LQ BAR 50.00 KG
16000174;C-2009/3 LQ BAR 50.00 KG
16000178;C-2009 LQ BAR 10.00 KG
16000180;C-2009 LQ FRA 1.00 KG
16000182;C-2010 LQ FRA 1.00 KG
16000183;C-2012 LQ BAR 10.00 KG
16000186;C-2013 LQ BAR 10.00 KG
16000187;C-2013 LQ BAR 50.00 KG
16000192;C-2017 LQ BAR 50.00 KG
16000195;C-2018 LQ BAR 10.00 KG
16000199;C-2021 LQ BAR 10.00 KG
16000204;C-2022 LQ BAR 10.00 KG
16000207;C-2023 LQ BAR 10.00 KG
16000218;C-2031 LQ BAR 50.00 KG
16000221;C-2034/2 LQ BAR 10.00 KG
16000223;C-2035 LQ BAR 10.00 KG
16000225;C-2036 LQ BAR 10.00 KG
16000226;C-2036 LQ BAR 50.00 KG
16000227;C-2036 LQ CPP 1000.00 KG
16000230;C-2038 LQ BAR 50.00 KG
16000231;C-2038 LQ CPP 1000.00 KG
16000234;C-2039 LQ BAR 10.00 KG
16000235;C-2039 LQ BAR 50.00 KG
16000238;C-2041 LQ BAR 10.00 KG
16000239;C-2041 LQ BAR 50.00KG
16000247;C-2052 LQ BAR 10.00 KG
16000249;C-2053 LQ BAR 10.00 KG
16000252;C-2054C LQ BAR 10.00 KG
16000253;C-2054C LQ BAR 50.00 KG
16000256;C-2066/1 LQ BAR 10.00 KG
16000259;C-2092/3 LQ CPL 1000.00 KG
16000266;C-2104 LQ BAR 50.00 KG
16000267;C-2104 LQ CPP 1000.00 KG
16000270;C-2111 LQ BAR 10.00 KG
16000271;C-2111 LQ BAR 50.00 KG
16000273;C-2130 LQ BAR 10.00 KG
16000279;C-2133 LQ BAR 10.00 KG
16000280;C-2136 LQ BAR 50.00 KG
16000283;C-2140T/1 LQ BAR 10.00 KG
16000285;C-2140T/1 LQ BAR 50.00 KG
16000286;C-2140T/1 LQ CPL 1000.00 KG
16000287;C-2140T/1 LQ CPP 1000.00 KG
16000291;C-2140T LQ BAR 10.00 KG
16000292;C-2140T LQ BAR 50.00 KG
16000293;C-2140T LQ BOM 5.00 KG
16000294;C-2140T LQ CPL 1000.00 KG
16000295;C-2140T LQ CPP 1000.00 KG
16000297;C-2140 LQ BAR 10.00 KG
16000298;C-2140 LQ BAR 50.00 KG
16000300;C-2140 LQ CPP 1000.00 KG
16000302;C-2140 LQ TAM 200.00 KG
16000304;C-2141 LQ BAR 10.00 KG
16000305;C-2141 LQ BAR 50.00 KG
16000306;C-2141 LQ CPL 1000.00 KG
16000308;C-2141 LQ FRA 1.00 KG
16000313;C-2145/1 LQ CPP 1000.00 KG
16000315;C-2145 LQ BAR 10.00 KG
16000318;C-2146 LQ BAR 10.00 KG
16000321;C-2148 LQ BAR 10.00 KG
16000323;C-2149/2 LQ BAR 10.00 KG
16000324;C-2149/2 LQ BAR 50.00 KG
16000325;C-2149/2 LQ BOM 200.00 KG
16000327;C-2151/1 LQ CPP 1000.00 KG
16000330;C-2159/4 LQ BAR 50.00 KG
16000332;C-2159 LQ BAR 10.00 KG
16000333;C-2159 LQ BAR 50.00 KG
16000339;C-2170 LQ BAR 10.00 KG
16000340;C-2170 LQ BAR 25.00 KG
16000341;C-2170 LQ BAR 50.00 KG
16000342;C-2170 LQ BOM 5.00 KG
16000343;C-2170 LQ CPP 1000.00 KG
16000347;C-2172 LQ BAR 50.00 KG
16000348;C-2172 LQ CPL 1000.00 KG
16000351;C-2175 LQ BAR 10.00 KG
16000352;C-2175 LQ BAR 50.00 KG
16000353;C-2175 LQ BOM 5.00 KG
16000356;C-2181 LQ BAR 10.00 KG
16000360;C-2183 LQ BAR 10.00 KG
16000363;C-2192 LQ BAR 50.00 KG
16000364;C-21A LQ BAR 10.00 KG
16000370;C-2218/3 LQ BAR 10.00 KG
16000372;C-2218 LQ BAR 10.00 KG
16000374;C-221 LQ BAR 50.00 KG
16000375;C-221 LQ CPP 1000.00 KG
16000379;C-2239TA LQ BAR 50.00 KG
16000380;C-2239TA LQ CPP 1000.00 KG
16000382;C-2239T LQ BAR 10.00 KG
16000383;C-2239T LQ BAR 25.00 KG
16000384;C-2239T LQ BAR 50.00 KG
16000385;C-2239T LQ CPP 1000.00 KG
16000387;C-223G LQ BAR 10.00 KG
16000388;C-223G LQ BAR 50.00 KG
16000390;C-223 LQ BAR 10.00 KG
16000391;C-223 LQ BAR 50.00 KG
16000394;C-2240 LQ BAR 50.00 KG
16000403;C-224 LQ BAR 10.00 KG
16000405;C-225 LQ BAR 10.00 KG
16000407;C-227 LQ BAR 10.00 KG
16000408;C-227 LQ BAR 50.00 KG
16000410;C-228 LQ BAR 10.00 KG
16000412;C-229AN LQ BAR 10.00 KG
16000415;C-23 LQ BAR 10.00 KG
16000416;C-23 LQ BAR 50.00 KG
16000417;C-23 LQ CPP 1000.00 KG
16000418;C-26/5 LQ BAR 25.00 KG
16000420;C-27R LQ BAR 50.00 KG
16000423;C-29N LQ BAR 10.00 KG
16000428;C-29S LQ BAR 10.00 KG
16000429;C-29 LQ BAR 10.00 KG
16000434;C-301 LQ BAR 10.00 KG
16000439;C-304 LQ BAR 10.00 KG
16000443;C-305 LQ BAR 50.00 KG
16000445;C-308 LQ BAR 10.00 KG
16000449;C-313 LQ BAR 50.00 KG
16000452;C-319 LQ BAR 50.00 KG
16000456;C-31 LQ BAR 10.00 KG
16000457;C-31 LQ BAR 50.00 KG
16000458;C-321AMT LQ BAR 50.00 KG
16000460;C-321A LQ BAR 10.00 KG
16000462;C-321A LQ BOM 5.00 KG
16000464;C-326A LQ BOM 5.00 KG
16000466;C-32 LQ BAR 10.00 KG
16000467;C-32 LQ BAR 50.00 KG
16000471;C-330A/1 LQ BAR 50.00 KG
16000474;C-330 LQ BAR 10.00 KG
16000475;C-330 LQ BAR 50.00 KG
16000478;C-331 LQ BAR 10.00 KG
16000480;C-332BR LQ BAR 25.00 KG
16000481;C-332BR LQ CPL 1000.00 KG
16000485;C-33 LQ BAR 10.00 KG
16000486;C-33 LQ BAR 50.00 KG
16000487;C-33 LQ CPP 1000.00 KG
16000489;C-341 LQ BAR 10.00 KG
16000493;C-342A LQ BAR 50.00 KG
16000496;C-342 LQ BAR 10.00 KG
16000497;C-342 LQ BAR 50.00 KG
16000498;C-342 LQ BOM 200.00 KG
16000502;C-345 LQ BAR 10.00 KG
16000503;C-345 LQ BAR 50.00 KG
16000507;C-347A LQ BAR 10.00 KG
16000509;C-347 LQ BAR 10.00 KG
16000510;C-347 LQ BAR 50.00 KG
16000514;C-348A LQ BAR 10.00 KG
16000516;C-348 LQ BAR 10.00 KG
16000517;C-348 LQ BAR 50.00 KG
16000518;C-348 LQ CPP 1000.00 KG
16000520;C-349 LQ BAR 10.00 KG
16000524;C-34 LQ BAR 50.00 KG
16000527;C-350A LQ BAR 50.00 KG
16000528;C-350A LQ CPL 1000.00 KG
16000531;C-350 LQ BAR 10.00 KG
16000534;C-351 LQ BAR 10.00 KG
16000535;C-351 LQ BAR 50.00 KG
16000536;C-351 LQ CPL 1000.00 KG
16000537;C-352 LQ BAR 10.00 KG
16000540;C-353/2 LQ BAR 10.00 KG
16000543;C-354/2 LQ BAR 10.00 KG
16000544;C-354/2 LQ FRA 1.00 KG
16000546;C-354 LQ BAR 10.00 KG
16000550;C-357A LQ BAR 10.00 KG
16000553;C-357V LQ BAR 50.00 KG
16000554;C-357 LQ BAR 10.00 KG
16000556;C-357 LQ BAR 50.00 KG
16000557;C-357 LQ CPP 1000.00 KG
16000560;C-358 LQ BAR 10.00 KG
16000562;C-359 LQ BAR 10.00 KG
16000565;C-35A LQ BAR 10.00 KG
16000566;C-35A LQ BAR 50.00 KG
16000569;C-35F LQ BAR 10.00 KG
16000570;C-35F LQ BAR 50.00 KG
16000577;C-360/5A LQ BAR 50.00 KG
16000579;C-360/5 LQ BAR 10.00 KG
16000580;C-360/5 LQ BAR 50.00 KG
16000582;C-360/5 LQ FRA 1.00 KG
16000584;C-360 LQ BAR 10.00 KG
16000585;C-360 LQ BAR 50.00 KG
16000588;C-362 LQ BAR 10.00 KG
16000589;C-362 LQ BAR 50.00 KG
16000590;C-363A LQ BAR 10.00 KG
16000592;C-363 LQ BAR 10.00 KG
16000593;C-363 LQ BAR 50.00 KG
16000597;C-364A LQ BOM 5.00 KG
16000599;C-365 LQ BAR 10.00 KG
16000605;C-36 LQ BAR 10.00 KG
16000606;C-36 LQ BAR 50.00 KG
16000610;C-371A LQ BOM 5.00 KG
16000613;C-371PL LQ BOM 5.00 KG
16000615;C-377 LQ BAR 10.00 KG
16000616;C-377 LQ BAR 50.00 KG
16000620;C-384/1 LQ BAR 50.00 KG
16000623;C-384 LQ BAR 50.00 KG
16000626;C-387A LQ BAR 50.00 KG
16000627;C-387A LQ CPL 1000.00 KG
16000629;C-387 LQ BAR 10.00 KG
16000630;C-387 LQ BAR 50.00 KG
16000633;C-389 LQ BAR 10.00 KG
16000636;C-394 LQ BAR 10.00 KG
16000637;C-394 LQ BAR 50.00 KG
16000639;C-396 LQ BAR 10.00 KG
16000640;C-396 LQ BAR 50.00 KG
16000641;C-399 LQ BAR 10.00 KG
16000643;C-400 LQ BAR 10.00 KG
16000644;C-400 LQ BAR 50.00 KG
16000648;C-401 LQ BAR 10.00 KG
16000652;C-406 LQ BAR 10.00 KG
16000653;C-406 LQ BAR 50.00 KG
16000654;C-406 LQ CPL 1000.00 KG
16000656;C-420H LQ BAR 10.00 KG
16000657;C-420H LQ BAR 50.00 KG
16000660;C-420 LQ BAR 10.00 KG
16000661;C-420 LQ BAR 50.00 KG
16000668;C-426 LQ BAR 50.00 KG
16000674;C-440 LQ BAR 50.00 KG
16000677;C-443 LQ BAR 10.00 KG
16000678;C-443 LQ BAR 50.00 KG
16000683;C-44 LQ BAR 50.00 KG
16000685;C-454 LQ BAR 10.00 KG
16000686;C-455MT LQ CPL 1000.00 KG
16000688;C-455 LQ BAR 50.00 KG
16000691;C-456 LQ BAR 50.00 KG
16000694;C-463 LQ BAR 10.00 KG
16000695;C-463 LQ BAR 50.00 KG
16000700;C-464 LQ BAR 10.00 KG
16000701;C-464 LQ BAR 50.00 KG
16000704;C-465 LQ BAR  50.00 KG
16000707;C-466 LQ BAR 25.00 KG
16000712;C-471 LQ BAR 10.00 KG
16000713;C-471 LQ BAR 50.00 KG
16000714;C-471 LQ BOM 5.00 KG
16000717;C-476 LQ BAR 10.00 KG
16000718;C-476 LQ BAR 50.00 KG
16000723;C-478 LQ BAR 10.00 KG
16000724;C-478 LQ BAR 50.00 KG
16000730;C-49 LQ BAR 10.00 KG
16000731;C-49 LQ BAR 50.00 KG
16000733;C-5008B LQ BAR 25.00 KG
16000736;C-5008 LQ BAR 25.00 KG
16000739;C-500 LQ BAR 50.00 KG
16000741;C-5011F LQ BAR 10.00 KG
16000742;C-5011F LQ BAR 25.00 KG
16000744;C-5011F LQ FRA 1.00 KG
16000746;C-5011RF LQ BAR 50.00 KG
16000748;C-5011 LQ BAL 30.00 KG
16000749;C-5011 LQ BAR 50.00 KG
16000752;C-5012 LQ BAL 33.00 KG
16000754;C-5013 LQ BAR 50.00 KG
16000757;C-5015 LQ BAL 30.00 KG
16000758;C-5015 LQ BAR 50.00 KG
16000760;C-502 LQ BAR 10.00 KG
16000761;C-502 LQ BAR 50.00 KG
16000762;C-502 LQ TAM 200.00 KG
16000764;C-5114 LQ BAR 10.00 KG
16000765;C-5114 LQ BAR 25.00 KG
16000766;C-5114 LQ BAR 50.00 KG
16000770;C-5118/1 LQ BAR 10.00 KG
16000773;C-5122AN LQ BAR 10.00 KG
16000776;C-5122 LQ BAR 10.00 KG
16000779;C-512 LQ BAL 20.00 KG
16000780;C-512 LQ BAR 10.00 KG
16000781;C-512 LQ BAR 50.00 KG
16000784;C-513 LQ BAR 10.00 KG
16000785;C-513 LQ BAR 50.00 KG
16000786;C-513 LQ BOM 5.00 KG
16000787;C-513 LQ FRA 1.00 KG
16000790;C-516 LQ BAR 50.00 KG
16000794;C-518HA/1 LQ BAR 25.00 KG
16000796;C-518HA LQ BAR 50.00 KG
16000799;C-518H LQ BAR 25.00 KG
16000800;C-518H LQ BAR 50.00 KG
16000805;C-51V LQ BAR 10.00 KG
16000806;C-51V LQ BAR 50.00 KG
16000807;C-51V LQ BOM 5.00 KG
16000809;C-51 LQ BAR 10.00 KG
16000810;C-51 LQ BAR 50.00 KG
16000811;C-51 LQ BOM 5.00 KG
16000815;C-520 LQ BAR 50.00 KG
16000816;C-523A LQ BAR 10.00 KG
16000818;C-523 LQ BAR 10.00 KG
16000819;C-523 LQ BAR 50.00 KG
16000821;C-524 LQ BAR 50.00 KG
16000824;C-526 LQ BAR 50.00 KG
16000825;C-526 LQ CPP 1000.00 KG
16000827;C-5277 LQ BAL 33.00 KG
16000829;C-528A LQ BAR 50.00 KG
16000831;C-528 LQ BAR 10.00 KG
16000832;C-528 LQ BAR 50.00 KG
16000833;C-528 LQ CPP 1000.00 KG
16000836;C-52 LQ BAR 10.00 KG
16000837;C-52 LQ BAR 50.00 KG
16000838;C-52 LQ BOM 5.00 KG
16000839;C-52 LQ CPP 1000.00 KG
16000846;C-540/2 LQ BAR 10.00 KG
16000847;C-540/2 LQ BAR 50.00 KG
16000849;C-540/2 LQ CPP 1000.00 KG
16000851;C-540/4 LQ CPP 1000.00 KG
16000853;C-542 LQ BAR 10.00 KG
16000855;C-542 LQ BAR 50.00 KG
16000857;C-542 LQ CPP 1000.00 KG
16000861;C-550 LQ BAR 50.00 KG
16000865;C-556 LQ BAR 10.00 KG
16000866;C-556 LQ BAR 50.00 KG
16000867;C-556 LQ BOM 5.00 KG
16000873;C-561 LQ BAR 10.00 KG
16000874;C-561 LQ BAR 50.00 KG
16000881;C-570/3 LQ BAR 10.00 KG
16000882;C-570/3 LQ BAR 50.00 KG
16000888;C-570 LQ BAR 10.00 KG
16000889;C-570 LQ BAR 50.00 KG
16000893;C-572 LQ BAR 50.00 KG
16000902;C-575 LQ BAR 50.00 KG
16000907;C-577/6 LQ BAR 50.00 KG
16000911;C-580AV LQ BAR 50.00 KG
16000914;C-580 LQ BAR 10.00 KG
16000915;C-580 LQ BAR 50.00 KG
16000916;C-580 LQ BOM 200.00 KG
16000917;C-580 LQ BOM 5.00 KG
16000918;C-580 LQ CPP 1000.00 KG
16000919;C-580 LQ FRA 1.00 KG
16000923;C-585 LQ BAR 25.00 KG
16000930;C-589/2 LQ BAR 50.00 KG
16000933;C-58 LQ BAR 10.00 KG
16000935;C-5900 LQ BAL 20.00 KG
16000936;C-5900 LQ BAL 33.00 KG
16000937;C-5900 LQ BAR 50.00 KG
16000939;C-5900 LQ KHS 33.00 KG
16000942;C-592 LQ BAR 50.00 KG
16000948;C-594/2 LQ BAR 50,00 KG
16000952;C-599/1 LQ BAR 10.00 KG
16000957;C-599 LQ BAR 50.00 KG
16000958;C-59V LQ BAR 10.00 KG
16000961;C-6005 PUR CAI 10.00 KG
16000962;C-6005 PUR FRA 0.500 KG
16000963;C-6020 PUR CAI 10.00 KG
16000966;C-621A LQ BOM 5.00 KG
16000968;C-621 LQ BAR 10.00 KG
16000969;C-621 LQ BAR 50.00 KG
16000970;C-621 LQ CPP 1000.00 KG
16000972;C-62 LQ BAR 10.00 KG
16000973;C-62 LQ BAR 50.00 KG
16000978;C-662 LQ BAR 50.00 KG
16000981;C-680 LQ BAR 50.00 KG
16000986;C-684 LQ BAR 10.00 KG
16000987;C-684 LQ BAR 50.00 KG
16000988;C-684 LQ CPP 1000.00 KG
16000990;C-685 LQ BAR 10.00 KG
16000991;C-7000 LQ FRA 1.00 KG
16000992;C-7000 LQ FRA 1.00 KG
16000995;C-7004 LQ BOM 5.00 KG
16000998;C-7020A LQ BAL 20.00 KG
16001000;C-7020 LQ BAL 20.00 KG
16001003;C-7030/5 LQ BAR 10.00 KG
16001007;C-7030 LQ BAR 10.00 KG
16001010;C-7032 LQ BAR 10.00 KG
16001012;C-7090 LQ BIB 22.00 KG
16001020;C-70 LQ BAR 10.00 KG
16001021;C-70 LQ BAR 50.00 KG
16001024;C-73 LQ BAR 10.00 KG
16001025;C-73 LQ BAR 50.00 KG
16001027;C-755 LQ BAR 10.00 KG
16001030;C-762 LQ BAR 45.00 KG
16001031;C-762 LQ FRA 1.00 KG
16001033;C-78 LQ BAR 10.00 KG
16001034;C-78 LQ BAR 50.00 KG
16001035;C-78 LQ BOM 5.00 KG
16001039;C-8020/1 LQ TAM 200.00 KG
16001042;C-8020 LQ BAR 50.00 KG
16001043;C-8020 LQ TAM 200.00 KG
16001046;C-8025 LQ BAR 50.00 KG
16001047;C-8025 LQ TAM 230.00 KG
16001048;C-8029 LQ BAR 50.00 KG
16001049;C-8030AN LQ BAR 10.00
16001052;C-8030F LQ BAR 50.00 KG
16001057;C-8030 LQ BAR 50.00 KG
16001058;C-8030 LQ CPL 1200.00 KG
16001062;C-8035 LQ BAR 10.00 KG
16001063;C-8035 LQ BAR 50.00 KG
16001067;C-8035 LQ TAM 230.00 KG
16001070;C-8039 LQ BAR 50.00 KG
16001073;C-8040 LQ BAR 50.00 KG
16001078;C-8054 LQ BAR 50.00 KG
16001081;C-8055T LQ BAR 50.00 KG
16001084;C-8055 LQ BAR 10.00 KG
16001085;C-8055 LQ BAR 25.00 KG
16001086;C-8055 LQ BAR 50.00 KG
16001089;C-8055 LQ TAM 230.00 KG
16001092;C-8059 LQ BAR 50.00 KG
16001097;C-8070 LQ BAR 50.00 KG
16001102;C-8072 LQ BAR 50.00 KG
16001103;C-8072 LQ TAM 230.00 KG
16001105;C-80 LQ BAR 10.00 KG
16001106;C-80 LQ BAR 50.00 KG
16001109;C-8107M LQ BAR 50.00 KG
16001112;C-84 LQ BAR 10.00 KG
16001117;C-85 LQ BAL 33.00 KG
16001118;C-85 LQ BAR 10.00 KG
16001119;C-85 LQ BAR 50.00 KG
16001121;C-88/4 LQ BAR 10.00 KG
16001123;C-88 LQ BAR 10.00 KG
16001124;C-88 LQ BAR 50.00 KG
16001125;C-88 LQ BOM 5.00 KG
16001128;C-89/1 LQ BAR 10.00 KG
16001129;C-89/1 LQ BAR 50.00 KG
16001131;C-89 LQ BAR 10.00 KG
16001132;C-89 LQ BAR 50.00 KG
16001133;C-900 LQ BOM 5.00 KG
16001150;C-923 LQ BAR 10.00 KG
16001161;C-93 LQ BAR 10.00 KG
16001169;C-94 LQ BAR 10.00 KG
16001177;C-96/1 LQ BAR 50.00 KG
16001179;C-96 LQ BAR 10.00 KG
16001180;C-96 LQ BAR 50.00 KG
16001185;C-97 LQ BAR 50.00 KG
16001190;CA-9006 BK CAI 20.00 KG
16001192;CA-9007 BK CAI 20.00 KG
16001195;CA-9008 BK SAC 01.00 KG
16001198;CA-9018 BK CAI 20.00 KG
16001201;CA-9020/6 BK CAI 20.00 KG
16001205;CA-9020J BK CAI 20.00 KG
16001207;CA-9020 BK CAI 20.00 KG
16001208;CA-9021/5 BK CAI 20.00 KG
16001210;CA-9021 BK CAI 20.00 KG
16001212;CA-9022 BK CAI 20.00 KG
16001214;CA-9023 BK CAI 20.00 KG
16001218;CA-9025 BK CAI 10.00 KG
16001220;CA-9027 BK CAI 20.00 KG
16001222;CA-9031/1 BK CAI 20.00 KG
16001224;CA-9031 BK CAI 20.00 KG
16001227;CA-9036 BK CAI 20.00 KG
16001231;CQ-010 PE SAC 25.00 KG
16001234;CQ-021SC PE SAC 25.00 KG
16001236;CQ-022 PE SAC 25.00 KG
16001240;CQ-027 PE SAC 25.00 KG
16001243;CQ-1000 PE SAC 25.00 KG
16001244;CQ-1016 PE SAC 25.00 KG
16001246;CQ-20627032 PI KHS 15.00 KG
16001247;CQ-20769857 PI KHS 15.00 KG
16001250;CQ-3000 PI CAI 15.00 KG
16001251;CQ-3000 PI CAI 5.00 KG
16001256;CQ-3008 PI CAI 15.00 KG
16001258;CQ-3008 PI CAI 5.00 KG
16001260;CQ-3009 PI CAI 15.00 KG
16001263;CQ-3010 PI CAI 15.00 KG
16001264;CQ-3015 PI CAI 13.00 KG
16001267;CQ-3017 BL CAI 20.00 KG
16001268;CQ-3019/2 PI BAR 2.00 KG
16001270;CQ-3020/2 PI CAI 15.00 KG
16001271;CQ-3020/4 BL CAI 18.00 KG
16001274;CQ-3022 PI CAI 15.00 KG
16001277;CQ-3025 PI CAI 15.00 KG
16001278;CQ-3026 PI CAI 15.00 KG
16001280;CQ-3027 PI CAI 15.00 KG
16001283;CQ-3028/1 PI CAI 15.00 KG
16001285;CQ-3028/2 PI CAI 15.00 KG
16001288;CQ-3030 PI CAI 15.00 KG
16001290;CQ-3034/5 PI CAI 15.00 KG
16001293;CQ-3038 PI CAI 15.00 KG
16001296;CQ-3039R PI CAI 15.00 KG
16001298;CQ-3040 PI CAI 15.00 KG
16001301;CQ-3041 PI CAI 15.00 KG
16001305;CQ-3042 PI CAI 15.00 KG
16001307;CQ-3043 PI CAI 15.00 KG
16001309;CQ-3044 PI CAI 15.00 KG
16001311;CQ-3060 PI CAI 1.00 KG
16001313;CQ-3060 PI CAI 15.00 KG
16001316;CQ-3061 PI CAI 1.00 KG
16001317;CQ-3061 PI CAI 15.00 KG
16001318;CQ-3100 PI CAI 15.00 KG
16001321;CQ-3870 PI CAI 15.00 KG
16001324;CQ-4011 PE SAC 25.00 KG
16001329;CQ-4012B PE SAC 25.00 KG
16001332;CQ-4012GM PE SAC 25.00 KG
16001333;CQ-4012N PE SAC 25.00 KG
16001338;CQ-4012 PE SAC 25.00 KG
16001341;CQ-4015 PE SAC 10.00 KG
16001343;CQ-4021/2 PE SAC 25.00 KG
16001346;CQ-4023/4 PE SAC 25.00 KG
16001348;CQ-4023/6 PE SAC 25.00 KG
16001350;CQ-4023 PE SAC 25.00 KG
16001352;CQ-4025 PI SAC 25.00 KG
16001354;CQ-4043 PE SAC 25.00 KG
16001356;CQ-4051 PE SAC 25.00 KG
16001360;CQ-4075 PE SAC 25.00 KG
16001362;CQ-4076/1 PE SAC 25.00 KG
16001364;CQ-4091 PE SAC 25.00 KG
16001369;CQ-4131/1 BL CAI 13.00 KG
16001371;CQ-4131/3 PE SAC 25.00 KG
16001374;CQ-4133/4 PE SAC 25.00 KG
16001379;CQ-4133 PE SAC 25.00 KG
16001380;CQ-4133 PE SAC 5.00 KG
16001382;CQ-4134 PE SAC 10.00 KG
16001383;CQ-4134 PE SAC 25.00 KG
16001386;CQ-4135/1 PE SAC 25.00 KG
16001387;CQ-4135BT PE SAC 25.00 KG
16001390;CQ-4135 PE SAC 25.00 KG
16001392;CQ-4135 PE SAC 10.00 KG
16001393;CQ-4135 PE SAC 25.00 KG
16001394;CQ-4135 PE SAC 5.00 KG
16001397;CQ-4136 PE SAC 25.00 KG
16001400;CQ-4137 PI SAC 25.00 KG
16001402;CQ-4138 PE SAC 25.00 KG
16001403;CQ-4139 PE SAC 25.00 KG
16001406;CQ-4141 PI SAC 10.00 KG
16001407;CQ-4141 PI SAC 25.00 KG
16001410;CQ-4142T PE SAC 25.00 KG
16001414;CQ-4143 PE SAC 25.00 KG
16001416;CQ-4144G PE SAC 25.00 KG
16001417;CQ-4147/1 PE SAC 25.00 KG
16001419;CQ-4150 PE SAC 25.00 KG
16001420;CQ-4160 PE SAC 25.00 KG
16001426;CQ-4163/1 PE SAC 25.00 KG
16001427;CQ-4163/1 PE SAC 5.00 KG
16001428;CQ-4163 PE SAC 25.00 KG
16001429;CQ-4164 PE SAC 25.00 KG
16001433;CQ-4165 PE SAC 25.00 KG
16001434;CQ-4165 PE SAC 5.00 KG
16001438;CQ-4166 PE SAC 25.00 KG
16001442;CQ-4168N PE SAC 25.00 KG
16001445;CQ-4168 PE SAC 25.00 KG
16001450;CQ-4169 PE SAC 25.00 KG
16001452;CQ-4170 PE SAC 25.00 KG
16001454;CQ-4174 PE SAC 25.00 KG
16001456;CQ-4175 PE SAC 25.00 KG
16001457;CQ-4188 PE SAC 25.00 KG
16001460;CQ-4193 PE SAC 25.00 KG
16001464;CQ-4195 PE SAC 25.00 KG
16001470;CQ-4196 PE SAC 10.00 KG
16001471;CQ-4196 PE SAC 25.00 KG
16001476;CQ-4197 PE SAC 25.00 KG
16001477;CQ-4197 PE SAC 5.00 KG
16001481;CQ-4198 PE SAC 25.00 KG
16001483;CQ-4199 PE SAC 25.00 KG
16001485;CQ-4243H PE SAC 10.00 KG
16001486;CQ-4243H PE SAC 25.00 KG
16001487;CQ-4243LV PE SAC 25.00 KG
16001488;CQ-4243 PE SAC 25.00 KG
16001490;CQ-4250 PE SAC 25.00 KG
16001491;CQ-4251A PE SAC 25.00 KG
16001493;CQ-4251 PE SAC 25.00 KG
16001494;CQ-4260G/1 PE SAC 25.00 KG
16001496;CQ-4260G/2 PE SAC 25.00 KG
16001497;CQ-4260G/3 PE SAC 10.00 KG
16001499;CQ-4260G/4 PE SAC 25.00 KG
16001503;CQ-4260 PE SAC 25.00 KG
16001506;CQ-4265 PE SAC 20.00 KG
16001511;CQ-4290 PE SAC 15.00 KG
16001516;CQ-4400 PE SAC 25.00 KG
16001519;CQ-4443/1 BAS CAI 25.00 KG
16001520;CQ-4443/1 BAS SAC 0.5
16001523;CQ-4443 BAS CAI 10.00 KG
16001525;CQ-4443 BAS CAI 25.00 KG
16001527;CQ-4443 BAS SAC 0.5
16001534;CQ-4444 BAS CAI 20.00 KG
16001535;CQ-4444 BAS CAI 25.00 KG
16001537;CQ-4444 BAS SAC 0.3 KG
16001543;CQ-4450 BAS CAI 25.00 KG
16001549;CQ-603 PE SAC 25.00 KG
16001554;CQ-610 PUR SD BAR 20.00 KG
16001555;CQ-610 PUR SD CAI 20.00 KG
16001557;CQ-610 PUR SD TAM 172.00 KG
16001558;CQ-610 PUR SD TAM 180.00 KG
16001562;CQ-612 PUR SD BAR 20.00 KG
16001564;CQ-615 PE SAC 25.00 KG
16001568;CQ-616 PE SAC 25.00 KG
16001571;CQ-617BB PE SAC 10.00 KG
16001572;CQ-617BB PE SAC 25.00 KG
16001576;CQ-617B PE SAC 10.00 KG
16001577;CQ-617B PE SAC 25.00 KG
16001581;CQ-617 PE SAC 10.00 KG
16001582;CQ-617 PE SAC 25.00 KG
16001584;CQ-620 PUR SD BAR 20.00 KG
16001585;CQ-620 PUR SD CAI 20.00 KG
16001586;CQ-620 PUR SD TAM 180.00 KG
16001587;CQ-622/1 PUR SD BAR 20.00 KG
16001588;CQ-622/1 PUR SD BAR 2.00 KG
16001589;CQ-622/1 PUR SD CAI 20.00 KG
16001590;CQ-622/1 PUR SD TAM 180.00 KG
16001591;CQ-622/1 PUR SD TAM 90.00 KG
16001593;CQ-622/3 PUR SD BAR 20.00 KG
16001594;CQ-622/3 PUR SD BAR 2.00 KG
16001595;CQ-622/3 PUR SD CAI 20.00 KG
16001598;CQ-624 PE BAL 2.50 KG
16001600;CQ-624 PE SAC 10.00 KG
16001601;CQ-624 PE SAC 25.00 KG
16001602;CQ-624 PE SAC 5.00 KG
16001603;CQ-624 PE W003 SAC 10.00 KG
16001605;CQ-627 PE SAC 25.00 KG
